537,Bryan Shaw,,4.86
538,Connor Phillips,CIN,4.69
539,Aaron Loup,,4.24
540,Guillermo Zu?iga,LAA,4.77
541,Adrian Morejon,SDP,4.28
542,Jeffrey Springs,TBR,3.52
543,Jos? Ruiz,PHI,4.59
544,Phil Bickford,NYY,4.43
545,Brad Boxberger,,4.45
546,Joey Cantillo,CLE,4.39
547,Glenn Otto,HOU,4.62
548,Brent Honeywell,LAD,4.87
549,Brad Hand,,4.44
550,Nick Robertson,LAA,3.88
551,T.J. McFarland,OAK,4.51
552,Cody Poteet,NYY,4.44
553,Carl Edwards Jr.,SDP,3.94
554,Mychal Givens,,4.49
555,Manuel Rodr?guez,TBR,4.01
556,Trey Wingenter,CHC,4.45
557,J.P. Feyereisen,LAD,3.89
558,Julio Teheran,,4.64
559,Jaime Barria,,4.79
560,Justin Wilson,CIN,4.65
561,Dylan Covey,PHI,4.48
562,Jos? Butt?,NYM,4.62
563,Eduard Bazardo,SEA,4.04
564,Janson Junk,OAK,4.83
565,Jose E. Hernandez,LAD,4.36
566,Jake Cousins,NYY,4.21
567,Prelander Berroa,CHW,4.2
568,Simeon Woods Richardson,MIN,4.74
569,Dominic Leone,CHW,4.51
570,Daulton Jefferies,PIT,4.51
571,Andr?s Machado,,4.54
572,Carson Spiers,CIN,5.23
573,Kenny Rosenberg,LAA,4.5
574,Cody Bolton,SEA,4.46
575,Luis Pati?o,SDP,5.01
576,Dennis Santana,PIT,4.63
577,Keegan Thompson,CHC,4.52
578,Corey Knebel,LAA,4.27
579,Hurston Waldrep,ATL,4.29
580,Hogan Harris,OAK,4.84
581,Jacob Barnes,WSN,5.07
582,Anthony Veneziano,MIA,4.73
583,Anthony Maldonado,MIA,4.14
584,Yerry Rodr?guez,TOR,4.43
585,Shawn Dubin,HOU,4.17
586,Steven Cruz,KCR,4.71
587,Justin Martinez,ARI,4.21
588,Sam Bachman,LAA,4.75
589,Osvaldo Bido,OAK,4.82
590,Carlos Vargas,SEA,4.17
591,Matt Carasiti,,5.48
592,Devin Williams,MIL,3.02
593,Jake Odorizzi,,4.56
594,Tucker Davidson,BAL,4.65
595,Jose Ferrer,WSN,4.52
596,Denyi Reyes,,4.97
597,Ryan Loutos,STL,4.45
598,Nick Nelson,PHI,4.8
599,Gavin Hollowell,CHC,5.2
600,Tony Santillan,CIN,5.03
